Category	Descript
bug	The give me a room which was so smelly and the floor was wet, then they change me to another room which the power is not working the room, and had to wait 40 mins to change me to another room for the third time.
other	Unfortunately there was a mix up with my Passport and Visa, and I couldn't get through customs at Charles de Gaulle.
other	The (basic) room was comfortable and not too small.
other	Our primary concierge, [name[, was amazing in his attitude of caring and willingness to help.
bug	We booked through Priceline (paying more than listed price on hotel website). No one was at the desk when we arrived for about 10 minutes.
other	Some are fairly easy, but I definitely get stuck.
other	We had a perfect stay at this little boutique hotel.
other	Same as previous other.
bug	My contact details have gone.
other	It is a great tool,
bug	At present not providing snacks evening time.
other	Room, amenities, service, staff and spa were all WONDERFUL
other	Well anything that make LIFE easier is worth a good rating, and they don't always leave instructional videos on line for ever so I can get it and watch it later.
other	seems like they have problem with this kind of problem,the hotel it self did not make it right
other	Hydrotherapy pool was amazing.
other	the best one player ever I have before.
request	i want winsetup usb work with win8
bug	we had quite a bad first impression at our first stay!
bug	Then you have to search for it again and doesn't even resume from where it stops.
other	The Imperial Hotel uniquely combines these features with a modern touch.
other	All round good experience but I'd say the hotel was a little out of our league.
other	Nothing at all.
other	Only the locayion was good
bug	We're unable to see them as if they are sorted from Z to A.
other	21 I had to ask once more again because obviously someone forgotten about my request.
bug	And the sheets were scratchy.
bug	A good hotel using substand rooms
bug	The resort tried to keep lt clean but could not keep up.
other	Awesome...
other	Rooms and sitting area was always immaculate.
bug	I'm not crazy about the new layout in general...
other	Good breakfast and lots of drinks, snacks and pastries available all day.
other	We chose it based on other positive reviews and I'm happy to say they were right.
bug	Ugly!
other	The game has a simple relaxing quality to it.
other	Really it's a fantastic browser.
other	I checked its reliability/accuracy using languages I know.
other	I have not yet.
bug	Could do better.
other	First class staff.
bug	Arrived to hotel to wait 40 minutes at midnight, because the family before me had reservation that they could not accommodate due to overbooking hotel.
other	A couple caveats before I start the review:
bug	Why you always change things?
bug	The room had no view and was poorly lit, pool was not working, restaurant was not working during evenings.
other	You need lots of patience when you use this app.
other	Lovely to
bug	You would expect that an online service costing 7.00 Euros a month would justify a decent application on the PC alone, if not on all platforms!
bug	Sauna was also not working.
bug	Probably the worst banking app ever made, It's slow, its ugly and its barely functional when it does decide to open up and load (Especially the transactions not being in order at all) An absolute joke.
other	The hotel was so clean and amazing decor.
bug	Air con didn't work in room.
other	The rooms are a good size with great bathrooms and a small balcony too.
bug	Not as lush as some hotels in Bali.
other	The location of Le Meridien Nice is fantastic and very central.
other	A classic, luxurious hotel in an excellent location with very attentive & friendly staff.
bug	I'm giving it another week and if it's not improved I'm ditching IG.
other	This is Amazing software for graphics and photo editing.
other	Very pleasant personnel.
bug	Lobby/bar was very sober.
other	This was my wife and my favorite hotel experience in Paris.
other	My husband and I stayed here last night.
other	Saw advertisements through an Internet travel booking site for hotel and zoo tickets in a package deal.
other	The hotel is conveniently located to some of the best walking areas of Nice.
bug	The bathroom was old and unclean, the daughters bathroom stank of sewrage and the shower was faulty.
bug	Maintenance in general was poor with a lot of small things broken e.g. bar stool which was left at the counter, chain on sink stopper in my bathroom and repairs were needed in the vitality suite.
other	When I want to quit a program I want to quit, simple as that.
bug	it is fast, but the controls are lousy, plus it keeps installing on my desktop shortcuts to place I don't want.
other	Everything is very modern and trendy, including the set up of the room with the shower and the bed speared by a glass wall.
bug	Do they actually test these updates first or just put them out and hope for the best they work....
other	Gabriel House Guest House is located close to the city centre in Cork City but far enough that it is quiet and restful.
undetermined	UPDATED REVIEW Well i was assured by customer service on my last review that i had nothing to worry about.
other	I was able to go out for a run in the mornings around the Louvre and the Seine river which was great.
