"title";"content";"date";"variant";"verified";"images";"author";"rating";"product";"url"
"could not receive calls";"cell phone lasted 9 months";"10 Jun 2021";"Color: Matte Black";"Yes";"";"Amazon Customer";"1.0";"Apple iPhone 7, GSM Unlocked, 32GB - Rose Gold (Renewed)";"https://www.amazon.com/Apple-iPhone-32GB-Rose-Renewed/product-reviews/B0731HBTZ7/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews"
"Great phones great prices";"Nice looking phones  delivered on time. Looks like new";"09 Jun 2021";"Color: Rose Gold";"Yes";"";"francis Osei";"5.0";"Apple iPhone 7, GSM Unlocked, 32GB - Rose Gold (Renewed)";"https://www.amazon.com/Apple-iPhone-32GB-Rose-Renewed/product-reviews/B0731HBTZ7/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews"
"Works, but a lot of scratches and dings on screen and edges.";"Probably better off getting a used phone off ebay.";"08 Jun 2021";"Color: Matte Black";"Yes";"";"David";"2.0";"Apple iPhone 7, GSM Unlocked, 32GB - Rose Gold (Renewed)";"https://www.amazon.com/Apple-iPhone-32GB-Rose-Renewed/product-reviews/B0731HBTZ7/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews"
"The phone gets really hot when u doing more than one thing on it";"The phone gets really hot on the charger";"08 Jun 2021";"Color: Matte Black";"Yes";"";"Unknown";"2.0";"Apple iPhone 7, GSM Unlocked, 32GB - Rose Gold (Renewed)";"https://www.amazon.com/Apple-iPhone-32GB-Rose-Renewed/product-reviews/B0731HBTZ7/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews"
"It’s freezes alot";"The battery dies really fast";"07 Jun 2021";"Color: Matte Black";"Yes";"";"Deana mendez";"1.0";"Apple iPhone 7, GSM Unlocked, 32GB - Rose Gold (Renewed)";"https://www.amazon.com/Apple-iPhone-32GB-Rose-Renewed/product-reviews/B0731HBTZ7/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews"
"Some used phone can be on a blacklist";"When I went to Sprint to activate the phone they told me it was “blacklisted”. They could tell me why, but also could not activate it for me. I NEVER buy new phones, so was surprised. I have not run into this problem before. Not sure what happened. Fortunately I the return was very easy and I got a full refund.";"06 Jun 2021";"Color: Matte Black";"Yes";"";"Daniel Monaghan";"1.0";"Apple iPhone 7, GSM Unlocked, 32GB - Rose Gold (Renewed)";"https://www.amazon.com/Apple-iPhone-32GB-Rose-Renewed/product-reviews/B0731HBTZ7/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews"
"A phone or a Fry";"Ok so I can’t use the screen and it was fried the next day don’t bye it";"31 May 2021";"Color: Matte Black";"No";"";"Angela";"1.0";"Apple iPhone 7, GSM Unlocked, 32GB - Rose Gold (Renewed)";"https://www.amazon.com/Apple-iPhone-32GB-Rose-Renewed/product-reviews/B0731HBTZ7/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews"
"Review";"5 stars";"30 May 2021";"Color: Rose Gold";"No";"";"MM";"5.0";"Apple iPhone 7, GSM Unlocked, 32GB - Rose Gold (Renewed)";"https://www.amazon.com/Apple-iPhone-32GB-Rose-Renewed/product-reviews/B0731HBTZ7/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews"
"Quality for my money!!";"It’s great🥳🥳";"27 May 2021";"Color: Jet Black";"Yes";"";"Cocoa Barbie";"5.0";"Apple iPhone 7, GSM Unlocked, 32GB - Rose Gold (Renewed)";"https://www.amazon.com/Apple-iPhone-32GB-Rose-Renewed/product-reviews/B0731HBTZ7/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews"
"Battery needs service.";"Battery needs service. Don't buy.";"27 May 2021";"Color: Matte Black";"Yes";"";"Amazon Customer";"1.0";"Apple iPhone 7, GSM Unlocked, 32GB - Rose Gold (Renewed)";"https://www.amazon.com/Apple-iPhone-32GB-Rose-Renewed/product-reviews/B0731HBTZ7/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews"
