title;content;date;variant;verified;images;author;rating;product;url;Split_1;Split_2;Split_3;Split_4;Sentiment_1;Sentiment_2;Sentiment_3;Sentiment_4;Keywords_1;Keywords_2;Keywords_3;Keywords_4
Great system for kids;Work great as expected from Nintendo;11 Jun 2021;Style: Console Color: Gray;Yes;;KP;5.0;Nintendo Switch with Gray Joy‑Con - HAC-001(-01);https://www.amazon.com/Nintendo-Switch-Gray-Joy%E2%80%91-HAC-001/product-reviews/B07VJRZ62R/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews;Work great as expected from Nintendo;xyz;xyz;xyz;xyz;xyz;xyz;xyz;['nintendo', 'great', 'expected'];['xyz'];['xyz'];['xyz']
Amazing!!;One of the best things I have bought in a while. I have enjoyed this product so much. I can’t wait to get more games and to keep playing!! I highly recommend this product!!;11 Jun 2021;Style: Console Color: Green and Blue;Yes;;Raven Sapphire;5.0;Nintendo Switch with Gray Joy‑Con - HAC-001(-01);https://www.amazon.com/Nintendo-Switch-Gray-Joy%E2%80%91-HAC-001/product-reviews/B07VJRZ62R/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews;One of the best things I have bought in a while.;I have enjoyed this product so much.;I can’t wait to get more games and to keep playing!!;I highly recommend this product!;xyz;xyz;xyz;xyz;['best', 'bought', 'one'];['enjoyed', 'product', 'much'];['playing', 'games', 'more'];['highly', 'recommend', 'product']
AMAZING!;Amazing! Thank you.;11 Jun 2021;Style: Console Color: Green and Blue;Yes;;Sara;5.0;Nintendo Switch with Gray Joy‑Con - HAC-001(-01);https://www.amazon.com/Nintendo-Switch-Gray-Joy%E2%80%91-HAC-001/product-reviews/B07VJRZ62R/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews;Amazing!;Thank you.;xyz;xyz;xyz;xyz;xyz;xyz;['amazing'];['thank', 'you'];['xyz'];['xyz']
Awesome!!!!;Son lover to play games.  He’s happy I’m happy.  Game ooooonnnnnnn;11 Jun 2021;Style: Console Color: Gray;Yes;;colin;5.0;Nintendo Switch with Gray Joy‑Con - HAC-001(-01);https://www.amazon.com/Nintendo-Switch-Gray-Joy%E2%80%91-HAC-001/product-reviews/B07VJRZ62R/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews;Son lover to play games.;He’s happy I’m happy.;Game ooooonnnnnnn;xyz;xyz;xyz;xyz;xyz;['lover', 'games', 'son'];['happy', 'he'];['ooooonnnnnnn', 'game'];['xyz']
As it should be;Regular price and had the color i wanted when everywhere else did not 👍🏼Works well and I like how it has some extra attachments and an HDMI cord included. Came quickly and undamaged. Overall good buy.;11 Jun 2021;Style: Console Color: Gray;Yes;;G;5.0;Nintendo Switch with Gray Joy‑Con - HAC-001(-01);https://www.amazon.com/Nintendo-Switch-Gray-Joy%E2%80%91-HAC-001/product-reviews/B07VJRZ62R/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews;Regular price and had the color i wanted when everywhere else did not 👍🏼Works well and I like how it has some extra attachments and an HDMI cord included.;Came quickly and undamaged.;Overall good buy.;xyz;xyz;xyz;xyz;xyz;['hdmi', 'color', 'regular'];['quickly', 'came', 'undamaged'];['good', 'buy', 'overall'];['xyz']
Faulty battery;It lasted less than I expected for product delivery.  The first week it worked very well but the following week it started to fail.  It did not fully charge the battery fully and it felt hot.  The following week it started to heat up and stopped charging.;11 Jun 2021;Style: Console Color: Neon Blue and Red;Yes;;E.S. Ortiz;1.0;Nintendo Switch with Gray Joy‑Con - HAC-001(-01);https://www.amazon.com/Nintendo-Switch-Gray-Joy%E2%80%91-HAC-001/product-reviews/B07VJRZ62R/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews;It lasted less than I expected for product delivery.;The first week it worked very well but the following week it started to fail.;It did not fully charge the battery fully and it felt hot.;The following week it started to heat up and stopped charging.;xyz;xyz;xyz;xyz;['less', 'product', 'expected'];['worked', 'fail', 'week'];['hot', 'battery', 'charge'];['week', 'stopped', 'heat']
Portable;Its great! Easy to use and keeps me occupied on road trips!;11 Jun 2021;Style: Console Color: Gray;Yes;;Yolanda Nieblas;5.0;Nintendo Switch with Gray Joy‑Con - HAC-001(-01);https://www.amazon.com/Nintendo-Switch-Gray-Joy%E2%80%91-HAC-001/product-reviews/B07VJRZ62R/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews;Its great!;Easy to use and keeps me occupied on road trips!;xyz;xyz;xyz;xyz;xyz;xyz;['great', 'its'];['trips', 'road', 'easy'];['xyz'];['xyz']
Nice and cute;Good device with very nice looking, so much better than the original color. And the TV set is designed so cool.;10 Jun 2021;Style: Console Color: Green and Blue;Yes;;Hawk;5.0;Nintendo Switch with Gray Joy‑Con - HAC-001(-01);https://www.amazon.com/Nintendo-Switch-Gray-Joy%E2%80%91-HAC-001/product-reviews/B07VJRZ62R/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews;Good device with very nice looking, so much better than the original color.;And the TV set is designed so cool.;xyz;xyz;xyz;xyz;xyz;xyz;['nice', 'better', 'good'];['cool', 'tv', 'designed'];['xyz'];['xyz']
😍;Fun;10 Jun 2021;Style: Console Color: Neon Blue and Red;Yes;;Guillermo Mendez;5.0;Nintendo Switch with Gray Joy‑Con - HAC-001(-01);https://www.amazon.com/Nintendo-Switch-Gray-Joy%E2%80%91-HAC-001/product-reviews/B07VJRZ62R/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews;Fun;xyz;xyz;xyz;xyz;xyz;xyz;xyz;['fun'];['xyz'];['xyz'];['xyz']
good;Nice;10 Jun 2021;Style: Console Color: Gray;Yes;;Hayden;5.0;Nintendo Switch with Gray Joy‑Con - HAC-001(-01);https://www.amazon.com/Nintendo-Switch-Gray-Joy%E2%80%91-HAC-001/product-reviews/B07VJRZ62R/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews;Nice;xyz;xyz;xyz;xyz;xyz;xyz;xyz;['nice'];['xyz'];['xyz'];['xyz']
good;good;10 Jun 2021;Style: Console Color: Green and Blue;Yes;;Qiao;5.0;Nintendo Switch with Gray Joy‑Con - HAC-001(-01);https://www.amazon.com/Nintendo-Switch-Gray-Joy%E2%80%91-HAC-001/product-reviews/B07VJRZ62R/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews;good;xyz;xyz;xyz;xyz;xyz;xyz;xyz;['good'];['xyz'];['xyz'];['xyz']
Great product. Fast delivery. Good price.;Great product. Fast delivery. Good price.;09 Jun 2021;Style: Console Color: Gray;Yes;;Michelle;5.0;Nintendo Switch with Gray Joy‑Con - HAC-001(-01);https://www.amazon.com/Nintendo-Switch-Gray-Joy%E2%80%91-HAC-001/product-reviews/B07VJRZ62R/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews;Great product.;Fast delivery.;Good price.;xyz;xyz;xyz;xyz;xyz;['great', 'product'];['fast', 'delivery'];['good', 'price'];['xyz']
Excelente;Hermosa consola. Tardó un poco en llegar pero valió la pena la espera. Funciona excelente.;09 Jun 2021;Style: Console Color: Green and Blue;Yes;https://images-na.ssl-images-amazon.com/images/I/B12rxYWG1DS._SY88.jpg;Keimaris San;5.0;Nintendo Switch with Gray Joy‑Con - HAC-001(-01);https://www.amazon.com/Nintendo-Switch-Gray-Joy%E2%80%91-HAC-001/product-reviews/B07VJRZ62R/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews;Hermosa consola.;Tardó un poco en llegar pero valió la pena la espera.;Funciona excelente.;xyz;xyz;xyz;xyz;xyz;['hermosa', 'consola'];['llegar', 'pena', 'pero'];['excelente', 'funciona'];['xyz']
